Date|SiteCode|ItemCode|Demand|FillNeeded|Shipped|Delivered|UnmetDemand|StockBefore|StockLeft
2024-04-01 00:00:00|STORE_001|ITM_CHIPS_8OZ|30|110|110|30|0|210|180
2024-04-01 00:00:00|STORE_002|ITM_CHIPS_8OZ|30|110|110|30|0|210|180
2024-04-02 00:00:00|STORE_001|ITM_CHIPS_8OZ|30|30|30|30|0|210|180
2024-04-02 00:00:00|STORE_002|ITM_CHIPS_8OZ|30|30|30|30|0|210|180
2024-04-03 00:00:00|STORE_001|ITM_CHIPS_8OZ|60|100|100|60|0|280|220
2024-04-03 00:00:00|STORE_002|ITM_CHIPS_8OZ|60|100|100|60|0|280|220
2024-04-04 00:00:00|STORE_001|ITM_CHIPS_8OZ|60|95|10|60|0|230|170
2024-04-04 00:00:00|STORE_002|ITM_CHIPS_8OZ|60|95|10|60|0|230|170
2024-04-05 00:00:00|STORE_001|ITM_CHIPS_8OZ|60|166|0|60|0|170|110
2024-04-05 00:00:00|STORE_002|ITM_CHIPS_8OZ|60|166|0|60|0|170|110
2024-04-06 00:00:00|STORE_001|ITM_CHIPS_8OZ|60|240|0|60|0|110|50
2024-04-06 00:00:00|STORE_002|ITM_CHIPS_8OZ|60|240|0|60|0|110|50
2024-04-07 00:00:00|STORE_001|ITM_CHIPS_8OZ|45|295|0|45|0|50|5
2024-04-07 00:00:00|STORE_002|ITM_CHIPS_8OZ|45|295|0|45|0|50|5
2024-04-08 00:00:00|STORE_001|ITM_CHIPS_8OZ|21|315|0|5|16|5|0
2024-04-08 00:00:00|STORE_002|ITM_CHIPS_8OZ|11|307|0|5|6|5|0
2024-04-09 00:00:00|STORE_001|ITM_CHIPS_8OZ|16|297|0|0|16|0|0
2024-04-09 00:00:00|STORE_002|ITM_CHIPS_8OZ|10|285|0|0|10|0|0
2024-04-10 00:00:00|STORE_001|ITM_CHIPS_8OZ|11|275|0|0|11|0|0
2024-04-10 00:00:00|STORE_002|ITM_CHIPS_8OZ|15|267|0|0|15|0|0
2024-04-11 00:00:00|STORE_001|ITM_CHIPS_8OZ|13|258|0|0|13|0|0
2024-04-11 00:00:00|STORE_002|ITM_CHIPS_8OZ|10|249|0|0|10|0|0
2024-04-12 00:00:00|STORE_001|ITM_CHIPS_8OZ|16|246|0|0|16|0|0
2024-04-12 00:00:00|STORE_002|ITM_CHIPS_8OZ|12|235|0|0|12|0|0
2024-04-13 00:00:00|STORE_001|ITM_CHIPS_8OZ|11|233|0|0|11|0|0
2024-04-13 00:00:00|STORE_002|ITM_CHIPS_8OZ|16|226|0|0|16|0|0
2024-04-14 00:00:00|STORE_001|ITM_CHIPS_8OZ|12|222|0|0|12|0|0
2024-04-14 00:00:00|STORE_002|ITM_CHIPS_8OZ|10|214|0|0|10|0|0
2024-04-15 00:00:00|STORE_001|ITM_CHIPS_8OZ|12|213|0|0|12|0|0
2024-04-15 00:00:00|STORE_002|ITM_CHIPS_8OZ|15|207|0|0|15|0|0
2024-04-16 00:00:00|STORE_001|ITM_CHIPS_8OZ|7|203|0|0|7|0|0
2024-04-16 00:00:00|STORE_002|ITM_CHIPS_8OZ|20|203|0|0|20|0|0
2024-04-17 00:00:00|STORE_001|ITM_CHIPS_8OZ|7|194|0|0|7|0|0
2024-04-17 00:00:00|STORE_002|ITM_CHIPS_8OZ|12|196|0|0|12|0|0
2024-04-18 00:00:00|STORE_001|ITM_CHIPS_8OZ|18|190|0|0|18|0|0
2024-04-18 00:00:00|STORE_002|ITM_CHIPS_8OZ|15|191|0|0|15|0|0
2024-04-19 00:00:00|STORE_001|ITM_CHIPS_8OZ|9|183|0|0|9|0|0
2024-04-19 00:00:00|STORE_002|ITM_CHIPS_8OZ|16|187|0|0|16|0|0
2024-04-20 00:00:00|STORE_001|ITM_CHIPS_8OZ|16|180|0|0|16|0|0
2024-04-20 00:00:00|STORE_002|ITM_CHIPS_8OZ|16|183|0|0|16|0|0
2024-04-21 00:00:00|STORE_001|ITM_CHIPS_8OZ|8|174|0|0|8|0|0
2024-04-21 00:00:00|STORE_002|ITM_CHIPS_8OZ|14|179|0|0|14|0|0
2024-04-22 00:00:00|STORE_001|ITM_CHIPS_8OZ|17|172|0|0|17|0|0
2024-04-22 00:00:00|STORE_002|ITM_CHIPS_8OZ|7|173|0|0|7|0|0
2024-04-23 00:00:00|STORE_001|ITM_CHIPS_8OZ|13|168|0|0|13|0|0
2024-04-23 00:00:00|STORE_002|ITM_CHIPS_8OZ|10|169|0|0|10|0|0
2024-04-24 00:00:00|STORE_001|ITM_CHIPS_8OZ|11|164|0|0|11|0|0
2024-04-24 00:00:00|STORE_002|ITM_CHIPS_8OZ|17|167|0|0|17|0|0
2024-04-25 00:00:00|STORE_001|ITM_CHIPS_8OZ|14|162|0|0|14|0|0
2024-04-25 00:00:00|STORE_002|ITM_CHIPS_8OZ|7|162|0|0|7|0|0
2024-04-26 00:00:00|STORE_001|ITM_CHIPS_8OZ|17|160|0|0|17|0|0
2024-04-26 00:00:00|STORE_002|ITM_CHIPS_8OZ|18|160|0|0|18|0|0
2024-04-27 00:00:00|STORE_001|ITM_CHIPS_8OZ|17|158|0|0|17|0|0
2024-04-27 00:00:00|STORE_002|ITM_CHIPS_8OZ|12|158|0|0|12|0|0
2024-04-28 00:00:00|STORE_001|ITM_CHIPS_8OZ|18|157|0|0|18|0|0
2024-04-28 00:00:00|STORE_002|ITM_CHIPS_8OZ|7|154|0|0|7|0|0
