SiteCode|ItemCode|SalesTypeCode|ReturnFlag|SalesDate|SalesQuantity|TotalCost|TotalRevenue|TotalOriginalRetail
STORE_001|ITM_BAS_0001|Regular|0|2024-10-01 00:00:00|3|23.4|58.5|58.5
STORE_001|ITM_BAS_0002|Regular|0|2024-10-01 00:00:00|9|83.43|208.53|208.53
STORE_001|ITM_BAS_0003|Regular|0|2024-10-01 00:00:00|4|15.16|37.92|37.92
STORE_001|ITM_BAS_0004|Regular|0|2024-10-01 00:00:00|14|84.98|212.38|212.38
STORE_001|ITM_BAS_0005|Regular|0|2024-10-01 00:00:00|12|40.8|102.12|102.12
STORE_001|ITM_BAS_0006|Regular|0|2024-10-01 00:00:00|7|32.83|82.04|82.04
STORE_001|ITM_BAS_0007|Regular|0|2024-10-01 00:00:00|5|33.2|82.95|82.95
STORE_001|ITM_BAS_0008|Regular|0|2024-10-01 00:00:00|11|37.18|92.95|92.95
STORE_001|ITM_BAS_0009|Regular|0|2024-10-01 00:00:00|7|31.85|79.66|79.66
STORE_001|ITM_BAS_0010|Regular|0|2024-10-01 00:00:00|12|91.44|228.6|228.6
STORE_001|ITM_TOP_0011|Regular|0|2024-10-01 00:00:00|6|120.18|316.2|316.2
STORE_001|ITM_TOP_0012|Regular|0|2024-10-01 00:00:00|5|63.15|166.15|166.15
STORE_001|ITM_TOP_0013|Regular|0|2024-10-01 00:00:00|6|126.24|332.16|332.16
STORE_001|ITM_TOP_0014|Regular|0|2024-10-01 00:00:00|4|104.24|274.28|274.28
STORE_001|ITM_TOP_0015|Regular|0|2024-10-01 00:00:00|7|54.25|142.73|142.73
STORE_001|ITM_TOP_0016|Regular|0|2024-10-01 00:00:00|7|181.79|478.45|478.45
STORE_001|ITM_TOP_0017|Regular|0|2024-10-01 00:00:00|3|70.56|185.67|185.67
STORE_001|ITM_TOP_0018|Regular|0|2024-10-01 00:00:00|5|76.8|202.1|202.1
STORE_001|ITM_TOP_0019|Regular|0|2024-10-01 00:00:00|1|11.15|29.33|29.33
STORE_001|ITM_TOP_0020|Regular|0|2024-10-01 00:00:00|8|235.36|619.44|619.44
STORE_001|ITM_TOP_0021|Regular|0|2024-10-01 00:00:00|8|122.24|321.6|321.6
STORE_001|ITM_TOP_0022|Regular|0|2024-10-01 00:00:00|5|48.55|127.8|127.8
STORE_001|ITM_BOT_0023|Regular|0|2024-10-01 00:00:00|13|191.23|478.01|478.01
STORE_001|ITM_BOT_0024|Regular|0|2024-10-01 00:00:00|7|250.11|625.24|625.24
STORE_001|ITM_BOT_0025|Regular|0|2024-10-01 00:00:00|4|115.6|289.04|289.04
STORE_001|ITM_BOT_0026|Regular|0|2024-10-01 00:00:00|5|173.0|432.5|432.5
STORE_001|ITM_BOT_0027|Regular|0|2024-10-01 00:00:00|3|97.29|243.24|243.24
STORE_001|ITM_BOT_0028|Regular|0|2024-10-01 00:00:00|10|270.2|675.4|675.4
STORE_001|ITM_BOT_0029|Regular|0|2024-10-01 00:00:00|4|157.0|392.48|392.48
STORE_001|ITM_BOT_0030|Regular|0|2024-10-01 00:00:00|5|113.0|282.5|282.5
